idx,split,ground_truth,model_response,verdict,flagged,reason,corrected_text
1,train,and he is to be backed by Mr. Will,"INCORRECT: he→her, Mr.→her | CORRECTED: and her is to be backed by her Will",INCORRECT,True,"he→her, Mr.→her",and her is to be backed by her Will
7,train,0M P for Manchester Exchange .,INCORRECT: 0M→UM | CORRECTED: UM P for Manchester Exchange .,INCORRECT,True,0M→UM,UM P for Manchester Exchange .
9,train,meeting of Labour 0M Ps tommorow . Mr. Michael,"INCORRECT: 0M→017, tommorow→tomorrow | CORRECTED: meeting of Labour 017 Ps tomorrow. Mr. Michael",INCORRECT,True,"0M→017, tommorow→tomorrow",meeting of Labour 017 Ps tomorrow. Mr. Michael
12,train,"and he is to be backed by Mr. Will Griffiths ,","INCORRECT: and→Cruel | CORRECTED: Cruel he is to be backed by Mr. Will Griffiths ,",INCORRECT,True,and→Cruel,"Cruel he is to be backed by Mr. Will Griffiths ,"
13,train,"which would appear to "" prop up "" an out-dated","INCORRECT: out-dated→outmoded | CORRECTED: which would appear to ""prop up"" an outmoded",INCORRECT,True,out-dated→outmoded,"which would appear to ""prop up"" an outmoded"
26,train,"which would appear to "" prop up "" an out-","INCORRECT: appear→appears | CORRECTED: which would appears to ""prop up"" an out-",INCORRECT,True,appear→appears,"which would appears to ""prop up"" an out-"
35,train,will be that as Labour 0M Ps opposed the Govern-,"INCORRECT: will→We'll, 0M→OM | CORRECTED: We'll be that as Labour OM Ps opposed the Govern-",INCORRECT,True,"will→We'll, 0M→OM",We'll be that as Labour OM Ps opposed the Govern-
38,train,large majority of Labour 0m Ps are likely to turn,INCORRECT: 0m→OM | CORRECTED: large majority of Labour OM Ps are likely to turn,INCORRECT,True,0m→OM,large majority of Labour OM Ps are likely to turn
44,train,get together to face the challenge from Sir,INCORRECT: Sir→Surg | CORRECTED: get together to face the challenge from Surg,INCORRECT,True,Sir→Surg,get together to face the challenge from Surg
48,train,Peeresses have been created . Most Labour,INCORRECT: Labour→Colours | CORRECTED: Peeresses have been created. Most Colours,INCORRECT,True,Labour→Colours,Peeresses have been created. Most Colours
51,train,"of the House of Lords , but while it remains","INCORRECT: it→sit, remains→presumptions | CORRECTED: of the House of Lords, but while sit presumptions",INCORRECT,True,"it→sit, remains→presumptions","of the House of Lords, but while sit presumptions"
