idx,split,ground_truth,model_response,verdict,flagged,reason,corrected_text
0,train,put down a resolution on the subject,CORRECT,CORRECT,False,,
1,train,and he is to be backed by Mr. Will,"INCORRECT: he→her, Mr.→her | CORRECTED: and her is to be backed by her Will",INCORRECT,True,"he→her, Mr.→her",and her is to be backed by her Will
2,train,nominating any more Labour life Peers,CORRECT,CORRECT,False,,
3,train,M Ps tomorrow. Mr. Michael Foot has,CORRECT,CORRECT,False,,
4,train,"Griffiths, M P for Manchester Exchange .",CORRECT,CORRECT,False,,
5,train,is to be made at a meeting of Labour,CORRECT,CORRECT,False,,
6,train,A MOVE to stop Mr. Gaitskell from,CORRECT,CORRECT,False,,
7,train,0M P for Manchester Exchange .,INCORRECT: 0M→UM | CORRECTED: UM P for Manchester Exchange .,INCORRECT,True,0M→UM,UM P for Manchester Exchange .
8,train,A MOVE to stop Mr. Gaitskell from nominating,CORRECT,CORRECT,False,,
9,train,meeting of Labour 0M Ps tommorow . Mr. Michael,"INCORRECT: 0M→017, tommorow→tomorrow | CORRECTED: meeting of Labour 017 Ps tomorrow. Mr. Michael",INCORRECT,True,"0M→017, tommorow→tomorrow",meeting of Labour 017 Ps tomorrow. Mr. Michael
10,train,any more Labour life Peers is to be made at a,CORRECT,CORRECT,False,,
11,train,Foot has put down a resolution on the subject,CORRECT,CORRECT,False,,
12,train,"and he is to be backed by Mr. Will Griffiths ,","INCORRECT: and→Cruel | CORRECTED: Cruel he is to be backed by Mr. Will Griffiths ,",INCORRECT,True,and→Cruel,"Cruel he is to be backed by Mr. Will Griffiths ,"
13,train,"which would appear to "" prop up "" an out-dated","INCORRECT: out-dated→outmoded | CORRECTED: which would appear to ""prop up"" an outmoded",INCORRECT,True,out-dated→outmoded,"which would appear to ""prop up"" an outmoded"
14,train,"Though they may gather some Left-wing support , a",CORRECT,CORRECT,False,,
15,train,"life peers into existence , they should not",CORRECT,CORRECT,False,,
16,train,and that Labour should not take any steps,CORRECT,CORRECT,False,,
17,train,now put forward nominees . He believes,CORRECT,CORRECT,False,,
18,train,large majority of Labour M Ps are likely to,CORRECT,CORRECT,False,,
19,train,that the House of Lords should be abolished,CORRECT,CORRECT,False,,
20,train,institution .,CORRECT,CORRECT,False,,
21,train,opposed the Government Bill which brought,CORRECT,CORRECT,False,,
22,train,turn down the Foot-Griffiths resolution . Mr.,CORRECT,CORRECT,False,,
23,train,Foot's line will be that as Labour M Ps,CORRECT,CORRECT,False,,
24,train,"into existence , they should not now put",CORRECT,CORRECT,False,,
25,train,Though they may gather some Left-wing,CORRECT,CORRECT,False,,
26,train,"which would appear to "" prop up "" an out-","INCORRECT: appear→appears | CORRECTED: which would appears to ""prop up"" an out-",INCORRECT,True,appear→appears,"which would appears to ""prop up"" an out-"
27,train,House of Lords should be abolished and,CORRECT,CORRECT,False,,
28,train,M Ps are likely to turn down the Foot-,CORRECT,CORRECT,False,,
29,train,that Labour should not take any steps,CORRECT,CORRECT,False,,
30,train,be that as Labour M Ps opposed the,CORRECT,CORRECT,False,,
31,train,forward nominees . He believes that the,CORRECT,CORRECT,False,,
32,train,Government Bill which brought life peers,CORRECT,CORRECT,False,,
33,train,Griffiths resolution . Mr. Foot's line will,CORRECT,CORRECT,False,,
34,train,"support , a large majority of Labour",CORRECT,CORRECT,False,,
35,train,will be that as Labour 0M Ps opposed the Govern-,"INCORRECT: will→We'll, 0M→OM | CORRECTED: We'll be that as Labour OM Ps opposed the Govern-",INCORRECT,True,"will→We'll, 0M→OM",We'll be that as Labour OM Ps opposed the Govern-
36,train,that Labour should not take any steps which would,CORRECT,CORRECT,False,,
37,train,"appear to "" prop up "" an out-dated institution .",CORRECT,CORRECT,False,,
