wrong,correct,count,type,wrong_repr,correct_repr
 ,,2413,delete_n:0,' ',''
,"""",362,insert_0:n,'',"'""'"
,s,222,insert_0:n,'','s'
 .,,150,delete_n:0,' .',''
n,m,99,substitute_1:1,'n','m'
,e,97,insert_0:n,'','e'
r,s,95,substitute_1:1,'r','s'
,r,82,insert_0:n,'','r'
o,a,68,substitute_1:1,'o','a'
,t,66,insert_0:n,'','t'
n,u,59,substitute_1:1,'n','u'
" """,,58,delete_n:0,"' ""'",''
a,e,57,substitute_1:1,'a','e'
""" ",,47,delete_n:0,"'"" '",''
,o,45,insert_0:n,'','o'
t,d,44,substitute_1:1,'t','d'
t,h,42,substitute_1:1,'t','h'
a,o,42,substitute_1:1,'a','o'
,l,42,insert_0:n,'','l'
,n,37,insert_0:n,'','n'
t,,37,delete_n:0,'t',''
s,,36,delete_n:0,'s',''
,a,36,insert_0:n,'','a'
" ,",,35,delete_n:0,"' ,'",''
,c,33,insert_0:n,'','c'
, ,32,insert_0:n,'',' '
r,,31,delete_n:0,'r',''
h,w,30,substitute_1:1,'h','w'
o,e,30,substitute_1:1,'o','e'
,h,29,insert_0:n,'','h'
 ,s,29,substitute_1:1,' ','s'
,y,28,insert_0:n,'','y'
r,n,28,substitute_1:1,'r','n'
,u,28,insert_0:n,'','u'
,d,27,insert_0:n,'','d'
s,r,27,substitute_1:1,'s','r'
t,l,27,substitute_1:1,'t','l'
,i,26,insert_0:n,'','i'
m,w,25,substitute_1:1,'m','w'
", ",,21,delete_n:0,"', '",''
n,,21,delete_n:0,'n',''
 ',,21,delete_n:0,""" '""",''
c,C,19,substitute_1:1,'c','C'
s,S,19,substitute_1:1,'s','S'
t,f,19,substitute_1:1,'t','f'
e,,19,delete_n:0,'e',''
k,h,18,substitute_1:1,'k','h'
n,s,17,substitute_1:1,'n','s'
' ,,17,delete_n:0,"""' """,''
. ,,16,delete_n:0,'. ',''
h,,16,delete_n:0,'h',''
n,y,16,substitute_1:1,'n','y'
th,H,16,merge_n:1,'th','H'
s,n,15,substitute_1:1,'s','n'
d,cl,15,split_1:n,'d','cl'
i,,14,delete_n:0,'i',''
e,a,14,substitute_1:1,'e','a'
r,t,14,substitute_1:1,'r','t'
,g,13,insert_0:n,'','g'
o,,13,delete_n:0,'o',''
b,l,13,substitute_1:1,'b','l'
1,,13,delete_n:0,'1',''
u,a,13,substitute_1:1,'u','a'
,ed,12,insert_0:n,'','ed'
h,l,12,substitute_1:1,'h','l'
,re,12,insert_0:n,'','re'
n,r,12,substitute_1:1,'n','r'
.,,11,delete_n:0,'.',''
,m,11,insert_0:n,'','m'
e,o,11,substitute_1:1,'e','o'
u,e,11,substitute_1:1,'u','e'
d,,11,delete_n:0,'d',''
 ,"""",11,substitute_1:1,' ',"'""'"
h,n,11,substitute_1:1,'h','n'
th,Hu,11,replace_2:2,'th','Hu'
e,at,11,split_1:n,'e','at'
d,ch,11,split_1:n,'d','ch'
m,n,10,substitute_1:1,'m','n'
M,H,10,substitute_1:1,'M','H'
H,th,10,split_1:n,'H','th'
,'s,10,insert_0:n,'',"""'s"""
,av,10,insert_0:n,'','av'
n,t,10,substitute_1:1,'n','t'
,se,10,insert_0:n,'','se'
r ,s,10,merge_n:1,'r ','s'
t,k,10,substitute_1:1,'t','k'
u,es,10,split_1:n,'u','es'
i,u,9,substitute_1:1,'i','u'
,ly,9,insert_0:n,'','ly'
s,t,9,substitute_1:1,'s','t'
the ,,9,delete_n:0,'the ',''
s,m,9,substitute_1:1,'s','m'
a,,9,delete_n:0,'a',''
l,,9,delete_n:0,'l',''
 the,,9,delete_n:0,' the',''
,f,9,insert_0:n,'','f'
,un,9,insert_0:n,'','un'
k,t,9,substitute_1:1,'k','t'
m,u,9,substitute_1:1,'m','u'
 .,",",8,merge_n:1,' .',"','"
k,l,8,substitute_1:1,'k','l'
h,le,8,split_1:n,'h','le'
e,is,8,split_1:n,'e','is'
d,l,8,substitute_1:1,'d','l'
v,r,8,substitute_1:1,'v','r'
t,W,8,substitute_1:1,'t','W'
a,x,8,substitute_1:1,'a','x'
 . ',,8,delete_n:0,""" . '""",''
s,y,8,substitute_1:1,'s','y'
m,,7,delete_n:0,'m',''
v,w,7,substitute_1:1,'v','w'
" . """,,7,delete_n:0,"' . ""'",''
a,ou,7,split_1:n,'a','ou'
e,c,7,substitute_1:1,'e','c'
,w,7,insert_0:n,'','w'
F,T,7,substitute_1:1,'F','T'
 ' ,,7,delete_n:0,""" ' """,''
e,u,7,substitute_1:1,'e','u'
e,i,7,substitute_1:1,'e','i'
w,m,7,substitute_1:1,'w','m'
u,,7,delete_n:0,'u',''
h,lu,6,split_1:n,'h','lu'
,',6,insert_0:n,'',"""'"""
 .,s,6,merge_n:1,' .','s'
l,h,6,substitute_1:1,'l','h'
n,w,6,substitute_1:1,'n','w'
,er,6,insert_0:n,'','er'
as,ere,6,replace_2:3,'as','ere'
c,e,6,substitute_1:1,'c','e'
h,Lu,6,split_1:n,'h','Lu'
