wrong_char,correct_char,count,wrong_repr,correct_repr,note
o,a,155,'o','a',lower–lower swap
n,m,135,'n','m',lower–lower swap
r,s,133,'r','s',lower–lower swap
a,o,116,'a','o',lower–lower swap
a,e,109,'a','e',lower–lower swap
n,u,96,'n','u',lower–lower swap
o,e,76,'o','e',lower–lower swap
t,h,75,'t','h',lower–lower swap
t,d,68,'t','d',lower–lower swap
h,l,60,'h','l',lower–lower swap
s,r,59,'s','r',lower–lower swap
r,n,56,'r','n',lower–lower swap
t,l,54,'t','l',lower–lower swap
u,e,52,'u','e',lower–lower swap
m,w,47,'m','w',lower–lower swap
e,a,46,'e','a',lower–lower swap
 ,s,42,' ','s',space mistaken as lower
e,i,42,'e','i',lower–lower swap
n,r,41,'n','r',lower–lower swap
m,u,41,'m','u',lower–lower swap
t,H,40,'t','H',lower mistaken as upper
d,c,39,'d','c',lower–lower swap
u,a,37,'u','a',lower–lower swap
n,s,36,'n','s',lower–lower swap
t,f,35,'t','f',lower–lower swap
h,w,34,'h','w',lower–lower swap
h,u,33,'h','u',lower–lower swap
e,o,31,'e','o',lower–lower swap
m,n,30,'m','n',lower–lower swap
r,t,29,'r','t',lower–lower swap
b,l,28,'b','l',lower–lower swap
s,S,25,'s','S',lower mistaken as upper
i,u,24,'i','u',lower–lower swap
w,u,24,'w','u',lower–lower swap
i,a,23,'i','a',lower–lower swap
s,n,23,'s','n',lower–lower swap
n,a,23,'n','a',lower–lower swap
u,i,23,'u','i',lower–lower swap
i,e,22,'i','e',lower–lower swap
k,h,22,'k','h',lower–lower swap
k,l,21,'k','l',lower–lower swap
u,n,21,'u','n',lower–lower swap
n,y,21,'n','y',lower–lower swap
n,t,20,'n','t',lower–lower swap
c,C,20,'c','C',lower mistaken as upper
e,u,20,'e','u',lower–lower swap
o,c,19,'o','c',lower–lower swap
k,t,18,'k','t',lower–lower swap
 ,"""",18,' ',"'""'",space mistaken as punct
H,t,17,'H','t',upper mistaken as lower
a,i,17,'a','i',lower–lower swap
a,u,17,'a','u',lower–lower swap
s,t,17,'s','t',lower–lower swap
w,a,17,'w','a',lower–lower swap
h,n,17,'h','n',lower–lower swap
d,a,16,'d','a',lower–lower swap
l,t,16,'l','t',lower–lower swap
s,c,16,'s','c',lower–lower swap
w,c,16,'w','c',lower–lower swap
w,m,16,'w','m',lower–lower swap
e,s,16,'e','s',lower–lower swap
t,k,16,'t','k',lower–lower swap
c,d,16,'c','d',lower–lower swap
a,s,16,'a','s',lower–lower swap
r,e,15,'r','e',lower–lower swap
s,m,15,'s','m',lower–lower swap
f,t,15,'f','t',lower–lower swap
a,c,15,'a','c',lower–lower swap
e,c,14,'e','c',lower–lower swap
s,d,14,'s','d',lower–lower swap
w,s,14,'w','s',lower–lower swap
t,r,14,'t','r',lower–lower swap
a,r,13,'a','r',lower–lower swap
d,l,13,'d','l',lower–lower swap
v,u,13,'v','u',lower–lower swap
h,o,13,'h','o',lower–lower swap
r,u,12,'r','u',lower–lower swap
M,H,12,'M','H',upper–upper swap
l,h,12,'l','h',lower–lower swap
b,t,12,'b','t',lower–lower swap
d,s,12,'d','s',lower–lower swap
 ,e,12,' ','e',space mistaken as lower
w,n,12,'w','n',lower–lower swap
t,c,12,'t','c',lower–lower swap
h,e,12,'h','e',lower–lower swap
i,o,12,'i','o',lower–lower swap
l,d,12,'l','d',lower–lower swap
n,l,12,'n','l',lower–lower swap
m,r,12,'m','r',lower–lower swap
u,h,12,'u','h',lower–lower swap
c,e,11,'c','e',lower–lower swap
r,a,11,'r','a',lower–lower swap
e,l,11,'e','l',lower–lower swap
r,d,11,'r','d',lower–lower swap
 ,h,11,' ','h',space mistaken as lower
y,g,11,'y','g',lower–lower swap
 ,l,11,' ','l',space mistaken as lower
r,h,11,'r','h',lower–lower swap
w,r,11,'w','r',lower–lower swap
r,m,11,'r','m',lower–lower swap
n,v,11,'n','v',lower–lower swap
o,i,11,'o','i',lower–lower swap
h,t,11,'h','t',lower–lower swap
n,d,11,'n','d',lower–lower swap
 ,",",10,' ',"','",space mistaken as punct
a,n,10,'a','n',lower–lower swap
n,w,10,'n','w',lower–lower swap
n,h,10,'n','h',lower–lower swap
v,r,10,'v','r',lower–lower swap
r,c,10,'r','c',lower–lower swap
 ,y,10,' ','y',space mistaken as lower
s,a,10,'s','a',lower–lower swap
d,t,10,'d','t',lower–lower swap
d,e,10,'d','e',lower–lower swap
t,W,10,'t','W',lower mistaken as upper
t,n,10,'t','n',lower–lower swap
a,x,10,'a','x',lower–lower swap
v,w,9,'v','w',lower–lower swap
e,n,9,'e','n',lower–lower swap
v,c,9,'v','c',lower–lower swap
u,v,9,'u','v',lower–lower swap
u,r,9,'u','r',lower–lower swap
F,T,9,'F','T',upper–upper swap
h,b,9,'h','b',lower–lower swap
-, ,9,'-',' ',punct mistaken as space
r,i,9,'r','i',lower–lower swap
o,s,9,'o','s',lower–lower swap
 ,i,9,' ','i',space mistaken as lower
u,o,9,'u','o',lower–lower swap
s,y,9,'s','y',lower–lower swap
I,H,9,'I','H',upper–upper swap
w,W,8,'w','W',lower mistaken as upper
s,e,8,'s','e',lower–lower swap
e,d,8,'e','d',lower–lower swap
.,t,8,'.','t',punct mistaken as lower
L,l,8,'L','l',upper mistaken as lower
n,c,8,'n','c',lower–lower swap
o,h,8,'o','h',lower–lower swap
h,L,8,'h','L',lower mistaken as upper
 ,t,8,' ','t',space mistaken as lower
r,v,8,'r','v',lower–lower swap
t,a,8,'t','a',lower–lower swap
