wrong,correct,count,type,wrong_repr,correct_repr
 ,,2413,delete_n:0,' ',''
,"""",362,insert_0:n,'',"'""'"
,s,222,insert_0:n,'','s'
 .,,150,delete_n:0,' .',''
,e,97,insert_0:n,'','e'
,r,82,insert_0:n,'','r'
,t,66,insert_0:n,'','t'
" """,,58,delete_n:0,"' ""'",''
""" ",,47,delete_n:0,"'"" '",''
,o,45,insert_0:n,'','o'
,l,42,insert_0:n,'','l'
,n,37,insert_0:n,'','n'
t,,37,delete_n:0,'t',''
s,,36,delete_n:0,'s',''
,a,36,insert_0:n,'','a'
" ,",,35,delete_n:0,"' ,'",''
,c,33,insert_0:n,'','c'
, ,32,insert_0:n,'',' '
r,,31,delete_n:0,'r',''
,h,29,insert_0:n,'','h'
,y,28,insert_0:n,'','y'
,u,28,insert_0:n,'','u'
,d,27,insert_0:n,'','d'
,i,26,insert_0:n,'','i'
", ",,21,delete_n:0,"', '",''
n,,21,delete_n:0,'n',''
 ',,21,delete_n:0,""" '""",''
e,,19,delete_n:0,'e',''
' ,,17,delete_n:0,"""' """,''
. ,,16,delete_n:0,'. ',''
h,,16,delete_n:0,'h',''
th,H,16,merge_n:1,'th','H'
d,cl,15,split_1:n,'d','cl'
i,,14,delete_n:0,'i',''
o,,13,delete_n:0,'o',''
1,,13,delete_n:0,'1',''
,g,13,insert_0:n,'','g'
,ed,12,insert_0:n,'','ed'
,re,12,insert_0:n,'','re'
.,,11,delete_n:0,'.',''
,m,11,insert_0:n,'','m'
d,,11,delete_n:0,'d',''
th,Hu,11,replace_2:2,'th','Hu'
e,at,11,split_1:n,'e','at'
d,ch,11,split_1:n,'d','ch'
H,th,10,split_1:n,'H','th'
,'s,10,insert_0:n,'',"""'s"""
,av,10,insert_0:n,'','av'
,se,10,insert_0:n,'','se'
r ,s,10,merge_n:1,'r ','s'
u,es,10,split_1:n,'u','es'
 the,,9,delete_n:0,' the',''
,f,9,insert_0:n,'','f'
,un,9,insert_0:n,'','un'
l,,9,delete_n:0,'l',''
the ,,9,delete_n:0,'the ',''
,ly,9,insert_0:n,'','ly'
a,,9,delete_n:0,'a',''
 .,",",8,merge_n:1,' .',"','"
h,le,8,split_1:n,'h','le'
e,is,8,split_1:n,'e','is'
 . ',,8,delete_n:0,""" . '""",''
u,,7,delete_n:0,'u',''
 ' ,,7,delete_n:0,""" ' """,''
,w,7,insert_0:n,'','w'
a,ou,7,split_1:n,'a','ou'
m,,7,delete_n:0,'m',''
" . """,,7,delete_n:0,"' . ""'",''
h,Lu,6,split_1:n,'h','Lu'
ma,wo,6,replace_2:2,'ma','wo'
ch,d,6,merge_n:1,'ch','d'
a ,,6,delete_n:0,'a ',''
,wo,6,insert_0:n,'','wo'
as,ere,6,replace_2:3,'as','ere'
, in,6,insert_0:n,'',' in'
,er,6,insert_0:n,'','er'
 .,s,6,merge_n:1,' .','s'
,',6,insert_0:n,'',"""'"""
h,lu,6,split_1:n,'h','lu'
' ,"""",5,merge_n:1,"""' ""","'""'"
u,ve,5,split_1:n,'u','ve'
m,un,5,split_1:n,'m','un'
w,us,5,split_1:n,'w','us'
in ,,5,delete_n:0,'in ',''
,ir,5,insert_0:n,'','ir'
or,as,5,replace_2:2,'or','as'
c,,5,delete_n:0,'c',''
,ing,5,insert_0:n,'','ing'
,es,5,insert_0:n,'','es'
tr,h,5,merge_n:1,'tr','h'
,",",5,insert_0:n,'',"','"
 . ,,5,delete_n:0,' . ',''
M,he,5,split_1:n,'M','he'
-,,4,delete_n:0,'-',''
 a,,4,delete_n:0,' a',''
ed,ing,4,replace_2:3,'ed','ing'
er,is,4,replace_2:2,'er','is'
w,re,4,split_1:n,'w','re'
t,ch,4,split_1:n,'t','ch'
1,Al,4,split_1:n,'1','Al'
6,,4,delete_n:0,'6',''
a,oo,4,split_1:n,'a','oo'
th,K,4,merge_n:1,'th','K'
st,d,4,merge_n:1,'st','d'
 #,,4,delete_n:0,' #',''
,th,4,insert_0:n,'','th'
,v,4,insert_0:n,'','v'
er,,4,delete_n:0,'er',''
, is,4,insert_0:n,'',' is'
. H,th,4,replace_3:2,'. H','th'
, to,4,insert_0:n,'',' to'
of,at,4,replace_2:2,'of','at'
k,th,4,split_1:n,'k','th'
y,,4,delete_n:0,'y',''
,ce,4,insert_0:n,'','ce'
h,li,4,split_1:n,'h','li'
i,or,4,split_1:n,'i','or'
, a,4,insert_0:n,'',' a'
er,as,3,replace_2:2,'er','as'
,on,3,insert_0:n,'','on'
w,ur,3,split_1:n,'w','ur'
ou,e,3,merge_n:1,'ou','e'
,is,3,insert_0:n,'','is'
m ,n,3,merge_n:1,'m ','n'
to,he,3,replace_2:2,'to','he'
n,re,3,split_1:n,'n','re'
b,lo,3,split_1:n,'b','lo'
n ,r,3,merge_n:1,'n ','r'
H,Th,3,split_1:n,'H','Th'
 ,ly,3,split_1:n,' ','ly'
,.,3,insert_0:n,'','.'
th,ll,3,replace_2:2,'th','ll'
 ,ed,3,split_1:n,' ','ed'
