idx,split,ground_truth,model_response,verdict,flagged,reason,corrected_text
1,train,and he is to be backed by Mr. Will,"INCORRECT: he→her, Mr.→her | CORRECTED: and her is to be backed by her. Will",INCORRECT,True,"he→her, Mr.→her",and her is to be backed by her. Will
9,train,meeting of Labour 0M Ps tommorow . Mr. Michael,"INCORRECT: 0M→017, tommorow→tomorrow | CORRECTED: meeting of Labour 017 Ps tomorrow . Mr. Michael",INCORRECT,True,"0M→017, tommorow→tomorrow",meeting of Labour 017 Ps tomorrow . Mr. Michael
15,train,"life peers into existence , they should not","INCORRECT: life→lifted | CORRECTED: lifted peers into existence , they should not",INCORRECT,True,life→lifted,"lifted peers into existence , they should not"
35,train,will be that as Labour 0M Ps opposed the Govern-,INCORRECT: will→We'll | CORRECTED: We'll be that as Labour 0M Ps opposed the Govern-,INCORRECT,True,will→We'll,We'll be that as Labour 0M Ps opposed the Govern-
45,train,members . THE two rival African Nationalist,INCORRECT: rival→general | CORRECTED: members . THE two general African Nationalist,INCORRECT,True,rival→general,members . THE two general African Nationalist
52,train,"Since 1958 , 13 Labour life Peers and","INCORRECT: Since→Science | CORRECTED: Science 1958 , 13 Labour life Peers and",INCORRECT,True,Since→Science,"Science 1958 , 13 Labour life Peers and"
83,train,United National Independence Party,"INCORRECT: extra leading ""United "" | CORRECTED: National Independence Party",INCORRECT,True,"extra leading ""United """,National Independence Party
97,train,"chief aide , Mr. Julius Greenfield , telephoned","INCORRECT: ""chief aide→thief made"" | CORRECTED: ""thief made, Mr. Julius Greenfield, telephoned""",INCORRECT,True,"""chief aide→thief made""","""thief made, Mr. Julius Greenfield, telephoned"""
100,train,"to be demonstrations . "" Yesterday Sir Roy's","INCORRECT: Roy's → Roy said | CORRECTED: ""to be demonstrations . "" Yesterday Sir Roy said""",INCORRECT,True,Roy's → Roy said,"""to be demonstrations . "" Yesterday Sir Roy said"""
105,train,the London talks on the Protectorate's,INCORRECT: talks→tollers | CORRECTED: the London tollers on the Protectorate's,INCORRECT,True,talks→tollers,the London tollers on the Protectorate's
117,train,and the talks fall through . There are bound,INCORRECT: bound→bounds | CORRECTED: and the talks fall through . There are bounds,INCORRECT,True,bound→bounds,and the talks fall through . There are bounds
125,train,"to be demonstrations . "" Yesterday Sir Roy's","INCORRECT: demonstrations→demonstratious | CORRECTED: ""to be demonstratious. "" Yesterday Sir Roy's",INCORRECT,True,demonstrations→demonstratious,"""to be demonstratious. "" Yesterday Sir Roy's"
132,train,Lancaster House despite the crisis which had,"INCORRECT: Leading ""Lancaster "" incorrectly added, trailing "" lancastes"" omitted | CORRECTED: House despite the crisis which had lancastes",INCORRECT,True,"Leading ""Lancaster "" incorrectly added, trailing "" lancastes"" omitted",House despite the crisis which had lancastes
133,train,Mr. Macleod went on with the conference at,"INCORRECT: missing "" Mr."" at the end | CORRECTED: Mr. Macleod went on with the conference at Mr.",INCORRECT,True,"missing "" Mr."" at the end",Mr. Macleod went on with the conference at Mr.
147,train,blown up . He has now revealed his full plans,INCORRECT: He→lte | CORRECTED: blown up. lte has now revealed his full plans,INCORRECT,True,He→lte,blown up. lte has now revealed his full plans
148,train,to the Africans and Liberals attending . These,INCORRECT: These→Theise | CORRECTED: to the Africans and Liberals attending . Theise,INCORRECT,True,These→Theise,to the Africans and Liberals attending . Theise
156,train,in the Commons last night that there have been,"INCORRECT: missing the trailing "" in the Commons last night that there have been"" | CORRECTED: in the Commons last night that there have been in the Commons last night that there have been",INCORRECT,True,"missing the trailing "" in the Commons last night that there have been""",in the Commons last night that there have been in the Commons last night that there have been
162,train,been boycotted by the two main settlers' parties -,INCORRECT: boycotted→boycollected | CORRECTED: been boycollected by the two main settlers' parties -,INCORRECT,True,boycotted→boycollected,been boycollected by the two main settlers' parties -
198,train,"meeting . But he told M Ps yesterday : "" I","INCORRECT: told→hold | CORRECTED: meeting . But he hold M Ps yesterday : "" I",INCORRECT,True,told→hold,"meeting . But he hold M Ps yesterday : "" I"
201,train,Mr. Macleod was not at the week-end,"INCORRECT: remove leading ""Mr. "" | CORRECTED: Macleod was not at the week-end",INCORRECT,True,"remove leading ""Mr. """,Macleod was not at the week-end
212,train,"meeting . But he told M Ps yesterday : "" I","INCORRECT: M→OM | CORRECTED: meeting . But he told OM Ps yesterday : "" I",INCORRECT,True,M→OM,"meeting . But he told OM Ps yesterday : "" I"
216,train,day called on Mr. Macmillan to cease his,INCORRECT: cease→lease | CORRECTED: day called on Mr. Macmillan to lease his,INCORRECT,True,cease→lease,day called on Mr. Macmillan to lease his
219,train,Mr. Macleod thought the two Rhodesian,INCORRECT: Mr.→Mrs | CORRECTED: Mrs Macleod thought the two Rhodesian,INCORRECT,True,Mr.→Mrs,Mrs Macleod thought the two Rhodesian
226,train,interference by Sir Roy's Federal Government in the talks .,INCORRECT: talks→tallies | CORRECTED: interference by Sir Roy's Federal Government in the tallies .,INCORRECT,True,talks→tallies,interference by Sir Roy's Federal Government in the tallies .
227,train,had found messages sent from the Government were,INCORRECT: were→where | CORRECTED: had found messages sent from the Government where,INCORRECT,True,were→where,had found messages sent from the Government where
231,train,"with "" growing anger "" the gross and unconstitutional ""","INCORRECT: gross→grass, unconstitutional→uncan shift to thoral | CORRECTED: with "" growing anger "" the grass and uncan shift to thoral """"",INCORRECT,True,"gross→grass, unconstitutional→uncan shift to thoral","with "" growing anger "" the grass and uncan shift to thoral """""
243,train,resume today . President Kennedy today,INCORRECT: resume→Presume | CORRECTED: Presume today . President Kennedy today,INCORRECT,True,resume→Presume,Presume today . President Kennedy today
247,train,Weaver of New York . One of his tasks will,"INCORRECT: Weaver→Weavers, tasks→talks | CORRECTED: Weavers of New York. One of his talks will",INCORRECT,True,"Weaver→Weavers, tasks→talks",Weavers of New York. One of his talks will
249,train,his Housing Minister . It has aroused strong,"INCORRECT: remove leading ""his"" | CORRECTED: Housing Minister . It has aroused strong",INCORRECT,True,"remove leading ""his""",Housing Minister . It has aroused strong
254,train,resume today . PRESIDENT KENNEDY today,"INCORRECT: remove leading ""resume "" | CORRECTED: ""today . PRESIDENT KENNEDY today""",INCORRECT,True,"remove leading ""resume ""","""today . PRESIDENT KENNEDY today"""
255,train,be to see there is no racial discrimination,"INCORRECT: remove leading ""be "" | CORRECTED: to see there is no racial discrimination",INCORRECT,True,"remove leading ""be """,to see there is no racial discrimination
266,train,off the opposition by telling a television,"INCORRECT: off→of, opposition→apparitions | CORRECTED: of the apparitions by telling a television",INCORRECT,True,"off→of, opposition→apparitions",of the apparitions by telling a television
275,train,discuss Weaver's appointment . Senator,INCORRECT: discuss→discusses | CORRECTED: discusses Weaver's appointment . Senator,INCORRECT,True,discuss→discusses,discusses Weaver's appointment . Senator
276,train,Virginia - met today in closed session to,"INCORRECT: ""Virginia -"" is incorrectly placed at the start instead of the end of the line, ""to"" is incorrectly placed at the end instead of immediately before ""Virginia"" | CORRECTED: met today in closed session to Virginia -",INCORRECT,True,"""Virginia -"" is incorrectly placed at the start instead of the end of the line, ""to"" is incorrectly placed at the end instead of immediately before ""Virginia""",met today in closed session to Virginia -
287,train,letter to Mr. Kennedy saying he had received several,INCORRECT: he→we | CORRECTED: letter to Mr. Kennedy saying we had received several,INCORRECT,True,he→we,letter to Mr. Kennedy saying we had received several
288,train,"gossip "" that Weaver once had Communist affilia-","INCORRECT: missing ""gossip"" after ""affilia-"" | CORRECTED: ""gossip "" that Weaver once had Communist affilia-gossip""",INCORRECT,True,"missing ""gossip"" after ""affilia-""","""gossip "" that Weaver once had Communist affilia-gossip"""
298,train,"He believed he would perform "" outstanding",INCORRECT: outstanding→outstandingly | CORRECTED: He believed he would perform outstandingly,INCORRECT,True,outstanding→outstandingly,He believed he would perform outstandingly
303,train,"service "" in his post . Senator Robertson's","INCORRECT: service→resource | CORRECTED: resource ""in his post. Senator Robertson's",INCORRECT,True,service→resource,"resource ""in his post. Senator Robertson's"
306,train,# sidered by the full Senate .,INCORRECT: # sidered→considered | CORRECTED: considered by the full Senate .,INCORRECT,True,# sidered→considered,considered by the full Senate .
307,train,listed by the Government . Immediately,INCORRECT: listed→Unlisted | CORRECTED: Unlisted by the Government. Immediately,INCORRECT,True,listed→Unlisted,Unlisted by the Government. Immediately
322,train,of Investigation had reported on Mr. Weaver .,INCORRECT: Mr.→Mrs. | CORRECTED: of Investigation had reported on Mrs. Weaver .,INCORRECT,True,Mr.→Mrs.,of Investigation had reported on Mrs. Weaver .
323,train,He said these concerned Mr. Weaver's alleged,INCORRECT: these→those | CORRECTED: He said those concerned Mr. Weaver's alleged,INCORRECT,True,these→those,He said those concerned Mr. Weaver's alleged
324,train,"He believed he would perform "" outstanding","INCORRECT: outstanding→outstandingly | CORRECTED: He believed he would perform ""outstandingly""",INCORRECT,True,outstanding→outstandingly,"He believed he would perform ""outstandingly"""
329,train,over West Germany's cash offer to help,INCORRECT: over→owes | CORRECTED: owes West Germany's cash offer to help,INCORRECT,True,over→owes,owes West Germany's cash offer to help
339,train,PRESIDENT KENNEDY is ready to get tough,INCORRECT: tough→through | CORRECTED: PRESIDENT KENNEDY is ready to get through,INCORRECT,True,tough→through,PRESIDENT KENNEDY is ready to get through
355,train,that the offer - 357million - was not good,INCORRECT: not→most | CORRECTED: that the offer - 357million - was most good,INCORRECT,True,not→most,that the offer - 357million - was most good
365,train,"slice of Germany's "" aid "" # is the early","INCORRECT: aid→raid | CORRECTED: slice of Germany's ""raid"" # is the early",INCORRECT,True,aid→raid,"slice of Germany's ""raid"" # is the early"
372,train,The President will probably discuss the,INCORRECT: the→issue | CORRECTED: The President will probably discuss issue,INCORRECT,True,the→issue,The President will probably discuss issue
374,train,"level than in the past "" might be useful .","INCORRECT: level→dealt | CORRECTED: ""dealt than in the past "" might be useful .",INCORRECT,True,level→dealt,"""dealt than in the past "" might be useful ."
375,train,debt to America . United States officials,"INCORRECT: debt→dept, United→limited, States→Skaters | CORRECTED: dept to America. limited Skaters officials",INCORRECT,True,"debt→dept, United→limited, States→Skaters",dept to America. limited Skaters officials
381,train,"level than in the past "" might be useful .","INCORRECT: ""than in""→""Please,"", ""might""→""weight"" | CORRECTED: level Please, the past weight be useful.",INCORRECT,True,"""than in""→""Please,"", ""might""→""weight""","level Please, the past weight be useful."
387,train,"But he said discussions "" on a higher","INCORRECT: said→social, discussions→descessions | CORRECTED: But he social descessions "" on a higher",INCORRECT,True,"said→social, discussions→descessions","But he social descessions "" on a higher"
396,train,Americans say Germany is having it too,INCORRECT: Americans→hugging | CORRECTED: hugging say Germany is having it too,INCORRECT,True,Americans→hugging,hugging say Germany is having it too
399,train,West German Government . It will now have,INCORRECT: have→larger | CORRECTED: West German Government . It will now larger,INCORRECT,True,have→larger,West German Government . It will now larger
415,train,was waiting for his senior military,INCORRECT: his→Luis's | CORRECTED: was waiting for Luis's senior military,INCORRECT,True,his→Luis's,was waiting for Luis's senior military
422,train,aides to come up with the answer on,INCORRECT: answer→answers | CORRECTED: aides to come up with the answers on,INCORRECT,True,answer→answers,aides to come up with the answers on
425,train,"And , since this is election year in West","INCORRECT: West→Wales | CORRECTED: And , since this is election year in Wales",INCORRECT,True,West→Wales,"And , since this is election year in Wales"
441,train,face from his warnings during the,INCORRECT: from→for | CORRECTED: face for his warnings during the,INCORRECT,True,from→for,face for his warnings during the
448,train,to angry uproar . One dealt with the human,INCORRECT: human→hungry | CORRECTED: to angry uproar . One dealt with the hungry,INCORRECT,True,human→hungry,to angry uproar . One dealt with the hungry
451,train,"charges . Mr. Powell , white-faced and outwardly","INCORRECT: charges→charger | CORRECTED: charger. Mr. Powell , white-faced and outwardly",INCORRECT,True,charges→charger,"charger. Mr. Powell , white-faced and outwardly"
452,train,Labour's attack on the higher health,INCORRECT: higher→highest | CORRECTED: Labour's attack on the highest health,INCORRECT,True,higher→highest,Labour's attack on the highest health
455,train,"charges . Mr. Powell , white-faced and","INCORRECT: missing "" changes."" at the end | CORRECTED: ""charges . Mr. Powell , white-faced and changes.""",INCORRECT,True,"missing "" changes."" at the end","""charges . Mr. Powell , white-faced and changes."""
477,train,Brown declared that the policy under,INCORRECT: declared→are claimed | CORRECTED: Brown are claimed that the policy under,INCORRECT,True,declared→are claimed,Brown are claimed that the policy under
480,train,on those least able to bear them . Mr.,INCORRECT: those→Lucas | CORRECTED: on Lucas least able to bear them . Mr.,INCORRECT,True,those→Lucas,on Lucas least able to bear them . Mr.
485,train,by my party's proposal to prostitute the,INCORRECT: the→they | CORRECTED: by my party's proposal to prostitute they,INCORRECT,True,the→they,by my party's proposal to prostitute they
